Number of nodes 969
   225 : -1.2915216e-01  3.7857591e-01
   226 : -1.8289693e-01  3.5573686e-01
   227 : -2.3274357e-01  3.2531590e-01
   228 : -2.7762968e-01  2.8796139e-01
   229 : -3.1659860e-01  2.4446949e-01
   230 : -3.4881976e-01  1.9576714e-01
   231 : -3.7360644e-01  1.4289236e-01
   232 : -3.9043035e-01  8.6972070e-02
   233 : -3.9893291e-01  2.9198126e-02
   234 : -3.9893291e-01 -2.9198126e-02
   235 : -3.9043035e-01 -8.6972070e-02
   236 : -3.7360644e-01 -1.4289236e-01
   237 : -3.4881976e-01 -1.9576714e-01
   238 : -3.1659860e-01 -2.4446949e-01
   239 : -2.7762968e-01 -2.8796139e-01
   240 : -2.3274357e-01 -3.2531590e-01
   241 : -1.8289693e-01 -3.5573686e-01
   242 : -1.2915216e-01 -3.7857591e-01
   243 : -7.2654740e-02 -3.9334627e-01
   244 : -1.4608809e-02 -3.9973314e-01
   245 :  4.3748483e-02 -3.9760039e-01
   246 :  1.0117335e-01 -3.8699348e-01
   247 :  1.5644189e-01 -3.6813847e-01
   248 :  2.0837614e-01 -3.4143724e-01
   249 :  2.5586921e-01 -3.0745886e-01
   250 :  2.9790887e-01 -2.6692752e-01
   251 :  3.3359913e-01 -2.2070710e-01
   252 :  3.6217929e-01 -1.6978268e-01
   253 :  3.8304024e-01 -1.1523964e-01
   254 :  3.9573735e-01 -5.8240467e-02
   255 : -6.2479352e-01 -1.0237630e+00
   256 : -6.1645940e-01  1.0448850e+00
   257 :  1.2110962e+00  7.0884186e-02
   258 :  9.1873331e-01 -7.5762434e-01
   259 :  2.2259939e-01  1.1473330e+00
   260 :  2.0844394e-01 -1.2125560e+00
   261 : -1.1221217e+00 -3.2622527e-01
   262 :  9.1997656e-01  7.7009230e-01
   263 : -1.1022072e+00  4.7407953e-01
   264 :  7.5910880e-01 -1.2428834e+00
   265 : -1.1493509e+00 -9.0469513e-01
   266 : -2.8013331e-01 -1.4361105e+00
   267 : -2.8013331e-01  1.4361105e+00
   268 :  1.4060217e+00 -4.0668014e-01
   269 :  1.3992548e+00  6.0297295e-01
   270 :  7.3788135e-01  1.2927533e+00
   271 : -1.5206465e+00  7.7799549e-02
   272 : -1.1419427e+00  9.5500404e-01
   273 : -6.3513536e-01  5.6908379e-01
   274 : -2.0617159e-01 -8.3589713e-01
   275 : -2.2931780e-01  8.5080775e-01
   276 : -6.5112700e-01 -5.9284993e-01
   277 :  7.9651401e-01  3.0464079e-01
   278 :  8.6157326e-01 -1.8483484e-01
   279 :  4.9616446e-01 -6.9351084e-01
   280 :  3.6950511e-01  7.6796273e-01
   281 : -8.5288593e-01 -1.0892647e-02
   282 : -9.4151810e-01  1.2616969e+00
   283 : -1.5522106e+00 -3.1000126e-01
   284 : -1.4514569e+00 -6.6420422e-01
   285 : -1.5210538e+00  4.2733719e-01
   286 :  4.3508359e-01  1.5313359e+00
   287 :  7.2049864e-02  1.5741119e+00
   288 :  1.2773596e+00  9.3040642e-01
   289 :  1.5516512e+00  2.5953187e-01
   290 :  1.3148232e+00 -8.0336060e-01
   291 :  1.1337699e+00 -1.1408501e+00
   292 :  1.0567518e-01 -1.5831539e+00
   293 :  4.8291235e-01 -1.5193501e+00
   294 : -6.6736897e-01 -1.4452499e+00
   295 : -9.6988384e-01 -1.2378037e+00
   296 :  1.4464020e-01 -7.8340483e-01
   297 : -7.0064145e-01  1.5191258e+00
   298 : -1.4622088e+00  7.7652764e-01
   299 :  1.6575283e+00 -7.3736489e-02
   300 :  1.1003151e+00  1.2370689e+00
   301 :  1.5831954e+00 -6.7808922e-01
   302 :  1.6785709e+00 -4.4226173e-01
   303 : -1.2131891e-01 -1.7179177e+00
   304 : -3.7977242e-01 -1.6949974e+00
   305 : -1.4050533e+00  1.0322862e+00
   306 : -1.2467203e+00  1.2555152e+00
   307 : -5.0082970e-01  1.6601828e+00
   308 : -2.4558946e-01  1.7196801e+00
   309 :  9.5768065e-01  1.4569261e+00
   310 :  7.3121481e-01  1.6107784e+00
   311 :  1.5260480e+00  8.1205886e-01
   312 :  1.6280041e+00  5.8373558e-01
   313 : -1.7086379e+00  2.3422201e-01
   314 : -1.7293853e+00 -1.9671884e-02
   315 : -1.4599659e+00 -9.3037006e-01
   316 : -1.3076070e+00 -1.1423029e+00
   317 :  7.5076791e-01 -1.5584194e+00
   318 :  9.9557736e-01 -1.4318443e+00
   319 : -6.0146795e-01  2.8373415e-01
   320 : -3.4274287e-01  5.4862098e-01
   321 :  1.7548663e-02  6.6333233e-01
   322 : -6.1481640e-01 -2.8821409e-01
   323 : -3.5372830e-01 -5.7960578e-01
   324 :  5.9213481e-01 -3.3232216e-01
   325 :  5.3743816e-01  4.1499625e-01
   326 :  6.4418081e-01  5.4191458e-02
   327 : -1.6870950e+00 -5.4623997e-01
   328 :  2.6964344e-01  1.7457915e+00
   329 : -9.2642930e-01 -1.5097495e+00
   330 :  3.6404501e-01 -1.7259733e+00
   331 :  1.3690362e+00 -1.1113758e+00
   332 : -6.7395568e-02 -6.2807483e-01
   333 :  2.8012960e-01 -5.6049272e-01
   334 : -6.0679346e-01 -1.6950932e+00
   335 : -5.6863173e-01  6.3436806e-02
   336 : -1.5412956e-01  5.9015545e-01
   337 : -4.3702372e-01 -4.0351308e-01
   338 : -4.5437555e-01  4.0691797e-01
   339 :  2.0257807e-01  5.3319237e-01
   340 :  5.9538943e-01 -1.3247296e-01
   341 :  5.6964779e-01  2.1803452e-01
   342 :  1.7778716e+00  1.3127946e-01
   343 :  1.3599875e+00  1.1720645e+00
   344 : -9.5279145e-01  1.5231143e+00
   345 : -1.6829951e+00  6.2516194e-01
   346 :  3.9841468e-01 -4.1582329e-01
   347 :  1.7935138e+00 -2.3485821e-01
   348 : -5.6747696e-01 -7.6698676e-02
   349 :  3.2761236e-01  4.6950026e-01
   350 :  1.7799010e+00  4.1874852e-01
   351 : -1.8057715e+00 -2.5743234e-01
   352 :  1.5554365e+00 -8.9040586e-01
   353 :  8.1859387e-02 -1.7904638e+00
   354 : -1.1688118e-02  1.8251009e+00
   355 : -1.2003514e+00 -1.3749825e+00
   356 :  1.2090259e+00 -1.3376535e+00
   357 :  1.5460304e+00  9.7755837e-01
   358 : -1.7890028e+00  3.7867657e-01
   359 : -1.6044497e+00 -8.8338612e-01
   360 : -1.6935900e+00 -7.1625496e-01
   361 :  6.8742341e-01 -1.6975026e+00
   362 :  5.1092321e-01 -1.7664229e+00
   363 :  1.1273977e+00  1.4322787e+00
   364 :  1.2358874e+00  1.3576224e+00
   365 : -1.5555666e+00  9.5008450e-01
   366 : -1.6312724e+00  8.4232474e-01
   367 : -6.5901700e-01  1.6994371e+00
   368 : -7.8771621e-01  1.6623549e+00
   369 : -1.1981980e+00  1.3914066e+00
   370 :  6.1769594e-01  1.7275619e+00
   371 :  4.5840267e-01  1.7809772e+00
   372 :  1.3381249e+00 -1.2683852e+00
   373 : -1.1017810e+00 -1.4845895e+00
   374 :  1.3236631e-01  1.8423123e+00
   375 :  1.8170658e+00 -9.1273728e-02
   376 : -1.7907401e+00 -4.0473821e-01
   377 : -8.2101589e-01 -1.6215828e+00
   378 :  1.0536934e-01 -5.7046021e-01
   379 :  1.7555437e+00 -6.1580719e-01
