Number of nodes 3320
   225 : -1.9656243e+00 -3.6921665e-01
   226 : -1.9599234e+00 -3.9837197e-01
   227 : -1.9537901e+00 -4.2743939e-01
   228 : -1.9472256e+00 -4.5641251e-01
   229 : -1.9402316e+00 -4.8528492e-01
   230 : -1.9328094e+00 -5.1405027e-01
   231 : -1.9249609e+00 -5.4270220e-01
   232 : -1.9166876e+00 -5.7123439e-01
   233 : -1.9079914e+00 -5.9964054e-01
   234 : -1.8988743e+00 -6.2791440e-01
   235 : -1.8893382e+00 -6.5604972e-01
   236 : -1.8793852e+00 -6.8404029e-01
   237 : -1.8690176e+00 -7.1187994e-01
   238 : -1.8582377e+00 -7.3956252e-01
   239 : -1.8470477e+00 -7.6708193e-01
   240 : -1.8354503e+00 -7.9443210e-01
   241 : -1.8234478e+00 -8.2160699e-01
   242 : -1.8110431e+00 -8.4860061e-01
   243 : -1.7982387e+00 -8.7540700e-01
   244 : -1.7850377e+00 -9.0202024e-01
   245 : -1.7714428e+00 -9.2843447e-01
   246 : -1.7574570e+00 -9.5464385e-01
   247 : -1.7430835e+00 -9.8064261e-01
   248 : -1.7283254e+00 -1.0064250e+00
   249 : -1.7131860e+00 -1.0319853e+00
   250 : -1.6976686e+00 -1.0573180e+00
   251 : -1.6817766e+00 -1.0824174e+00
   252 : -1.6655136e+00 -1.1072779e+00
   253 : -1.6488831e+00 -1.1318942e+00
   254 : -1.6318888e+00 -1.1562607e+00
   255 : -1.6145345e+00 -1.1803721e+00
   256 : -1.5968239e+00 -1.2042231e+00
   257 : -1.5787611e+00 -1.2278084e+00
   258 : -1.5603499e+00 -1.2511228e+00
   259 : -1.5415944e+00 -1.2741611e+00
   260 : -1.5224988e+00 -1.2969184e+00
   261 : -1.5030673e+00 -1.3193895e+00
   262 : -1.4833042e+00 -1.3415695e+00
   263 : -1.4632138e+00 -1.3634535e+00
   264 : -1.4428006e+00 -1.3850366e+00
   265 : -1.4220690e+00 -1.4063142e+00
   266 : -1.4010237e+00 -1.4272815e+00
   267 : -1.3796693e+00 -1.4479339e+00
   268 : -1.3580105e+00 -1.4682669e+00
   269 : -1.3360520e+00 -1.4882758e+00
   270 : -1.3137988e+00 -1.5079565e+00
   271 : -1.2912557e+00 -1.5273044e+00
   272 : -1.2684277e+00 -1.5463153e+00
   273 : -1.2453199e+00 -1.5649851e+00
   274 : -1.2219373e+00 -1.5833096e+00
   275 : -1.1982851e+00 -1.6012848e+00
   276 : -1.1743685e+00 -1.6189066e+00
   277 : -1.1501928e+00 -1.6361713e+00
   278 : -1.1257633e+00 -1.6530750e+00
   279 : -1.1010855e+00 -1.6696140e+00
   280 : -1.0761647e+00 -1.6857845e+00
   281 : -1.0510065e+00 -1.7015832e+00
   282 : -1.0256164e+00 -1.7170064e+00
   283 : -1.0000000e+00 -1.7320508e+00
   284 : -9.7416298e-01 -1.7467131e+00
   285 : -9.4811102e-01 -1.7609899e+00
   286 : -9.2184989e-01 -1.7748782e+00
   287 : -8.9538536e-01 -1.7883750e+00
   288 : -8.6872328e-01 -1.8014771e+00
   289 : -8.4186952e-01 -1.8141818e+00
   290 : -8.1483003e-01 -1.8264863e+00
   291 : -7.8761076e-01 -1.8383877e+00
   292 : -7.6021771e-01 -1.8498835e+00
   293 : -7.3265693e-01 -1.8609712e+00
   294 : -7.0493451e-01 -1.8716483e+00
   295 : -6.7705655e-01 -1.8819124e+00
   296 : -6.4902921e-01 -1.8917614e+00
   297 : -6.2085868e-01 -1.9011929e+00
   298 : -5.9255116e-01 -1.9102050e+00
   299 : -5.6411291e-01 -1.9187956e+00
   300 : -5.3555019e-01 -1.9269629e+00
   301 : -5.0686932e-01 -1.9347050e+00
   302 : -4.7807661e-01 -1.9420203e+00
   303 : -4.4917842e-01 -1.9489071e+00
   304 : -4.2018113e-01 -1.9553639e+00
   305 : -3.9109113e-01 -1.9613892e+00
   306 : -3.6191484e-01 -1.9669819e+00
   307 : -3.3265871e-01 -1.9721405e+00
   308 : -3.0332918e-01 -1.9768640e+00
   309 : -2.7393272e-01 -1.9811514e+00
   310 : -2.4447583e-01 -1.9850017e+00
   311 : -2.1496499e-01 -1.9884140e+00
   312 : -1.8540673e-01 -1.9913875e+00
   313 : -1.5580756e-01 -1.9939218e+00
   314 : -1.2617402e-01 -1.9960161e+00
   315 : -9.6512632e-02 -1.9976700e+00
   316 : -6.6829954e-02 -1.9988831e+00
   317 : -3.7132531e-02 -1.9996553e+00
   318 : -7.4269159e-03 -1.9999862e+00
   319 :  2.2280338e-02 -1.9998759e+00
   320 :  5.1982676e-02 -1.9993243e+00
   321 :  8.1673545e-02 -1.9983317e+00
   322 :  1.1134639e-01 -1.9968981e+00
   323 :  1.4099468e-01 -1.9950239e+00
   324 :  1.7061185e-01 -1.9927096e+00
   325 :  2.0019138e-01 -1.9899556e+00
   326 :  2.2972675e-01 -1.9867626e+00
   327 :  2.5921142e-01 -1.9831312e+00
   328 :  2.8863891e-01 -1.9790623e+00
   329 :  3.1800271e-01 -1.9745567e+00
   330 :  3.4729636e-01 -1.9696155e+00
   331 :  3.7651337e-01 -1.9642397e+00
   332 :  4.0564732e-01 -1.9584306e+00
   333 :  4.3469176e-01 -1.9521893e+00
   334 :  4.6364030e-01 -1.9455173e+00
   335 :  4.9248654e-01 -1.9384161e+00
   336 :  5.2122413e-01 -1.9308872e+00
   337 :  5.4984671e-01 -1.9229323e+00
   338 :  5.7834799e-01 -1.9145531e+00
   339 :  6.0672165e-01 -1.9057515e+00
   340 :  6.3496146e-01 -1.8965294e+00
   341 :  6.6306117e-01 -1.8868889e+00
   342 :  6.9101459e-01 -1.8768321e+00
   343 :  7.1881555e-01 -1.8663612e+00
   344 :  7.4645791e-01 -1.8554785e+00
   345 :  7.7393558e-01 -1.8441865e+00
   346 :  8.0124249e-01 -1.8324875e+00
   347 :  8.2837262e-01 -1.8203842e+00
   348 :  8.5531999e-01 -1.8078793e+00
   349 :  8.8207864e-01 -1.7949756e+00
   350 :  9.0864268e-01 -1.7816757e+00
   351 :  9.3500624e-01 -1.7679828e+00
   352 :  9.6116351e-01 -1.7538999e+00
   353 :  9.8710871e-01 -1.7394299e+00
   354 :  1.0128361e+00 -1.7245762e+00
   355 :  1.0383401e+00 -1.7093419e+00
   356 :  1.0636149e+00 -1.6937306e+00
   357 :  1.0886551e+00 -1.6777455e+00
   358 :  1.1134551e+00 -1.6613903e+00
   359 :  1.1380094e+00 -1.6446685e+00
   360 :  1.1623127e+00 -1.6275839e+00
   361 :  1.1863595e+00 -1.6101401e+00
   362 :  1.2101445e+00 -1.5923411e+00
   363 :  1.2336626e+00 -1.5741908e+00
   364 :  1.2569085e+00 -1.5556931e+00
   365 :  1.2798770e+00 -1.5368523e+00
   366 :  1.3025632e+00 -1.5176723e+00
